location_name,year,val,upper,lower
High-middle SDI,1990,15.77868333927,18.40365932429,13.53216282654
High-middle SDI,1991,15.7988120644,18.43753732653,13.54536054172
High-middle SDI,1992,15.81418502307,18.47535032584,13.545298401519998
High-middle SDI,1993,15.82713093232,18.513849400770003,13.54292148848
High-middle SDI,1994,15.84166876653,18.55325394735,13.54409203644
High-middle SDI,1995,15.85714681929,18.57934324624,13.5518386157
High-middle SDI,1996,15.86765407502,18.56651380575,13.56817925538
High-middle SDI,1997,15.872092369729998,18.54437801956,13.58042975946
High-middle SDI,1998,15.87487229348,18.51811369079,13.59339274234
High-middle SDI,1999,15.88304582192,18.49518805599,13.6141176559
High-middle SDI,2000,15.90038380465,18.48206473368,13.64542364668
High-middle SDI,2001,15.92004954725,18.52219409511,13.64549133704
High-middle SDI,2002,15.93652517273,18.55962038441,13.64299130728
High-middle SDI,2003,15.9530006594,18.59834708266,13.66161204615
High-middle SDI,2004,15.97337698264,18.60643871607,13.70273414812
High-middle SDI,2005,16.000954958599998,18.61535707888,13.74663136629
High-middle SDI,2006,16.04538670342,18.6941072157,13.778097924569998
High-middle SDI,2007,16.10483036177,18.75142626355,13.84212959798
High-middle SDI,2008,16.16587524054,18.83399812886,13.90257034286
High-middle SDI,2009,16.21606476658,18.92600219442,13.94526536168
High-middle SDI,2010,16.24478846649,18.99196455367,13.96571058726
High-middle SDI,2011,16.247202237459998,19.00868501159,13.96214275956
High-middle SDI,2012,16.232959759430003,19.01149642895,13.94216897899
High-middle SDI,2013,16.21131626444,18.99751164773,13.913758631460002
High-middle SDI,2014,16.19188572936,18.98231392469,13.88784429255
High-middle SDI,2015,16.18613435468,18.98266810389,13.86610946491
High-middle SDI,2016,16.2091076955,19.0018003881,13.88264188657
High-middle SDI,2017,16.25958946865,19.04173684806,13.91377522991
High-middle SDI,2018,16.32485488728,19.09570298091,13.95465514208
High-middle SDI,2019,16.39428144318,19.15238318735,14.00534910484
High-middle SDI,2020,16.55532105592,19.23667484528,14.22729912251
High-middle SDI,2021,16.53090495979,19.33196591397,14.15373226611
Low-middle SDI,1990,15.07927510174,18.33920588688,12.27344101184
Low-middle SDI,1991,15.07326954241,18.33535545082,12.27693190849
Low-middle SDI,1992,15.0659085269,18.333578644360003,12.27986586524
Low-middle SDI,1993,15.05817317008,18.3355459686,12.28278493298
Low-middle SDI,1994,15.05071781955,18.34912685897,12.2859220894
Low-middle SDI,1995,15.04412185185,18.36293999935,12.28950914162
Low-middle SDI,1996,15.03582741813,18.32333109542,12.27983292565
Low-middle SDI,1997,15.02405552133,18.29540024051,12.26853239398
Low-middle SDI,1998,15.0109461748,18.2670419585,12.257492431649998
Low-middle SDI,1999,14.99900980862,18.23990742445,12.248038780180002
Low-middle SDI,2000,14.99053655091,18.21884429658,12.24055473195
Low-middle SDI,2001,14.98146389353,18.22208166907,12.22722562098
Low-middle SDI,2002,14.96829780407,18.22057416431,12.21048566863
Low-middle SDI,2003,14.95390828794,18.21709568973,12.19397645834
Low-middle SDI,2004,14.94116437642,18.21508571488,12.18037095945
Low-middle SDI,2005,14.93269207443,18.21830026845,12.17128227587
Low-middle SDI,2006,14.92413731059,18.21995899456,12.15096143486
Low-middle SDI,2007,14.91179734055,18.21669342185,12.12770967144
Low-middle SDI,2008,14.89941900018,18.21315903676,12.1047674404
Low-middle SDI,2009,14.89080457406,18.21450709923,12.08517505295
Low-middle SDI,2010,14.88966674583,18.20539651088,12.07179575061
Low-middle SDI,2011,14.91124501456,18.21599280934,12.09442167382
Low-middle SDI,2012,14.95718342039,18.25361312856,12.1361194164
Low-middle SDI,2013,15.01110139345,18.298534311,12.18352248834
Low-middle SDI,2014,15.05682471943,18.34297326211,12.223761424430002
Low-middle SDI,2015,15.07851179508,18.36546129164,12.24456578936
Low-middle SDI,2016,15.0748040542,18.34236670562,12.23736106923
Low-middle SDI,2017,15.06051014287,18.32199439683,12.22120006917
Low-middle SDI,2018,15.04527080823,18.30503835959,12.20287467409
Low-middle SDI,2019,15.03753187312,18.29125457592,12.19124259685
Low-middle SDI,2020,15.03780162132,18.32680127881,12.19503413603
Low-middle SDI,2021,15.03778855412,18.289849056,12.21287302498
Low SDI,1990,14.62832983602,17.87800511247,11.82630367355
Low SDI,1991,14.63247358075,17.892099333490002,11.83661220255
Low SDI,1992,14.63406323746,17.90956811165,11.84494783311
Low SDI,1993,14.63343245613,17.92616824198,11.8472881178
Low SDI,1994,14.632734468449998,17.94175285815,11.84874940074
Low SDI,1995,14.629615795330002,17.95459441177,11.84882219028
Low SDI,1996,14.62453813393,17.94606052332,11.84821089259
Low SDI,1997,14.619356557460002,17.93717815098,11.84855664338
Low SDI,1998,14.614321750439998,17.92828267671,11.84922275611
Low SDI,1999,14.60952547162,17.91946233527,11.84958800854
Low SDI,2000,14.6052976321,17.910910932300002,11.84932320277
Low SDI,2001,14.59920252756,17.89269298563,11.83431742711
Low SDI,2002,14.58840418569,17.86973140072,11.81623903259
Low SDI,2003,14.57546435553,17.84465362973,11.79854616102
Low SDI,2004,14.56419201075,17.82074805025,11.78480486605
Low SDI,2005,14.557392947,17.81340533369,11.77585437855
Low SDI,2006,14.55294889005,17.815501210220003,11.76834418488
Low SDI,2007,14.54716297432,17.81597871493,11.76631817687
Low SDI,2008,14.541283161910002,17.81668652166,11.76911762895
Low SDI,2009,14.53627093191,17.81960103535,11.77305288275
Low SDI,2010,14.534013161430002,17.82688380292,11.76784114256
Low SDI,2011,14.539617278420002,17.83173437722,11.76477239228
Low SDI,2012,14.55271713032,17.85512995232,11.76793211832
Low SDI,2013,14.56824218654,17.89408049205,11.77306913646
Low SDI,2014,14.58125427858,17.93722499819,11.77612058515
Low SDI,2015,14.5871360605,17.96977584861,11.77291219085
Low SDI,2016,14.58542087129,17.95122260024,11.78829687987
Low SDI,2017,14.58048129766,17.9264803531,11.77711904384
Low SDI,2018,14.574189317500002,17.90399163509,11.77115817143
Low SDI,2019,14.56826472216,17.89190857877,11.78465750393
Low SDI,2020,14.54481914925,17.8676203042,11.7178881215
Low SDI,2021,14.541504957410002,17.865416434249997,11.76150701404
High SDI,1990,15.6970718851,18.79739176244,13.00893510071
High SDI,1991,15.70458839854,18.8173662044,13.01478370524
High SDI,1992,15.7123796694,18.83784466453,13.01086133967
High SDI,1993,15.7202136597,18.85822031896,13.00626275699
High SDI,1994,15.72480965452,18.87540965255,12.998144731
High SDI,1995,15.72743433681,18.87384087802,12.98776210452
High SDI,1996,15.72203468265,18.8682263329,12.975026849610002
High SDI,1997,15.70728028349,18.85954199685,12.95477092935
High SDI,1998,15.69185248643,18.85149519142,12.93736812373
High SDI,1999,15.68102967535,18.84110667195,12.92746319118
High SDI,2000,15.68345074997,18.84559267755,12.930506320730002
High SDI,2001,15.70566964267,18.86625984396,12.95944724467
High SDI,2002,15.739270648940002,18.89633196883,13.00058255685
High SDI,2003,15.7799081997,18.93140368434,13.04991554805
High SDI,2004,15.820650484480002,18.96496362777,13.10057097726
High SDI,2005,15.85390122502,18.99127531801,13.144306975969998
High SDI,2006,15.90701328088,19.04628166556,13.19087806313
High SDI,2007,15.9901475023,19.13765425558,13.26205794041
High SDI,2008,16.076979645,19.2346536266,13.3356617789
High SDI,2009,16.14843121558,19.31262793311,13.39766925092
High SDI,2010,16.18224273578,19.3432903033,13.43010854548
High SDI,2011,16.17056120218,19.33522592246,13.4057354838
High SDI,2012,16.13006314518,19.29175782566,13.35900456673
High SDI,2013,16.07361557051,19.23249079293,13.30132356055
High SDI,2014,16.01512083172,19.17853424948,13.24379253666
High SDI,2015,15.96770278845,19.13795715255,13.19576016161
High SDI,2016,15.89838910633,19.05122275167,13.1442908543
High SDI,2017,15.79198686275,18.91769690839,13.06288177158
High SDI,2018,15.689316249629998,18.78611665365,12.98456685616
High SDI,2019,15.63014547476,18.70730268095,12.93977818152
High SDI,2020,15.66568695968,18.73339010025,12.91898778596
High SDI,2021,15.688893052809998,18.76103429351,12.945366169720002
Middle SDI,1990,16.26068946005,19.42545107241,13.65085102414
Middle SDI,1991,16.23098098991,19.37858183091,13.61644457064
Middle SDI,1992,16.197915819669998,19.33440152899,13.56867480608
Middle SDI,1993,16.1645855613,19.30359587598,13.51772107442
Middle SDI,1994,16.13310936801,19.2757513377,13.46864835566
Middle SDI,1995,16.10484525478,19.25277193314,13.42317313842
Middle SDI,1996,16.07748058229,19.22299163779,13.40407734905
Middle SDI,1997,16.04929123963,19.17697294832,13.38359478431
Middle SDI,1998,16.022802401539998,19.13274803521,13.359233425270002
Middle SDI,1999,15.99943316675,19.09243829951,13.32976692382
Middle SDI,2000,15.98123591524,19.05880599786,13.30602542995
Middle SDI,2001,15.96372414363,19.05034385271,13.29991526894
Middle SDI,2002,15.94306305173,19.03614666221,13.29280623378
Middle SDI,2003,15.92213769726,19.01994684702,13.27999281313
Middle SDI,2004,15.90268507111,19.0037678,13.25685775792
Middle SDI,2005,15.887497257360002,18.99237808911,13.24828093569
Middle SDI,2006,15.87345410157,18.97200122247,13.24400468182
Middle SDI,2007,15.85601710072,18.94981666935,13.2310057571
Middle SDI,2008,15.836215447130002,18.92622842322,13.21471862669
Middle SDI,2009,15.81453890824,18.90093976364,13.19724740005
Middle SDI,2010,15.79086281182,18.8732676342,13.17988712944
Middle SDI,2011,15.76920274843,18.86115738731,13.14346852089
Middle SDI,2012,15.75449367556,18.86385435247,13.10912779135
Middle SDI,2013,15.74535066603,18.87435728072,13.07795986177
Middle SDI,2014,15.73818934252,18.88669311221,13.0502844634
Middle SDI,2015,15.72927594043,18.8927774684,13.022672083380002
Middle SDI,2016,15.72375137062,18.90515594717,13.01353874022
Middle SDI,2017,15.72591636906,18.92340637842,13.01206863418
Middle SDI,2018,15.73043506147,18.94116844142,13.014321543590002
Middle SDI,2019,15.73221396677,18.95448977752,13.01523524492
Middle SDI,2020,15.71553052637,18.95352964525,12.97980484862
Middle SDI,2021,15.73729625794,18.9593675294,13.01101808225
